,user,text,favourite_count,retweet_count,created_at
144,elonmusk,"@BBCBreaking Government data has far more latency &amp; error than people think, which is why it’s so frequently restated, especially in a rapidly changing economy.

When the economy is not changing rapidly, actually measuring things isn’t important, as you can simply extrapolate from the past.",14915,1319,2023-01-17 08:08:51+00:00
145,elonmusk,@ImMeme0 Is it even possible to parody their tweets? I’m just literally wondering right now if it’s even possible 🤔,5493,415,2023-01-17 07:38:17+00:00
146,elonmusk,@MirrorinSpace @Brookstone23 @realchrisrufo @wef lol,1993,132,2023-01-17 06:38:11+00:00
147,elonmusk,"@paulg Looking at the comments, this social network might be trending positively towards positivity. We will try to make that more the case.",5509,296,2023-01-17 06:15:59+00:00
148,elonmusk,@weirdterrifying Nice,35445,927,2023-01-17 05:36:28+00:00
149,elonmusk,@KanekoaTheGreat Interesting thread,4533,609,2023-01-17 05:30:42+00:00
150,elonmusk,@JaneidyEve The recommendation algorithm will get much better and it will be open source,12204,861,2023-01-17 03:58:42+00:00
151,elonmusk,"@ScottAdamsSays “Master the Future” doesn’t sound ominous at all … 🙄

How is WEF/Davos even a thing? Are they trying to be the boss of Earth!?",98492,16174,2023-01-17 03:54:25+00:00
152,elonmusk,"Trashing accounts that you hate will cause our algorithm to show you more of those accounts, as it is keying off of your interactions.

Basically saying if you love trashing *that* account, then you will probably also love trashing *this* account. Not actually wrong lol.",200594,18870,2023-01-17 03:47:49+00:00
153,elonmusk,@BillyM2k Should Twitter keep it active?,29505,1296,2023-01-17 03:40:08+00:00
154,elonmusk,"@jacobin This is a rare case where I agree with Jacobin.

Increasing quality of life for the aged is important, but increased lifespan, especially if cognitive impairment is not addressed, is not good for civilization.

We are already ruled by a gerontocracy!",4185,440,2023-01-17 03:38:04+00:00
155,elonmusk,"@banthebbc BBC is at least honest that they are the *British* Broadcasting Corporation, unlike many others …",2391,215,2023-01-17 03:25:27+00:00
156,elonmusk,"@banthebbc Well, your account handle is literally BanTheBBC haha!

But that’s actually the point I was making: state influence/affiliation with media is far more common than most people realize – just look at how much Twitter/FB/Google have been influenced!",2221,269,2023-01-17 03:23:41+00:00
157,elonmusk,"@Brookstone23 @realchrisrufo @wef There are some really funny WEF parody accounts, although it’s legit hard to tell WEF truth from WEF parody sometimes!",3724,418,2023-01-17 03:16:50+00:00
158,elonmusk,"@realchrisrufo Sensible thread. 

We shouldn’t be obsessed with WEF/Davos, but they take themselves sooo seriously that making fun of them is awesome 😎",25536,2130,2023-01-17 03:10:32+00:00
159,elonmusk,@Jason Population collapse is a massive danger to the future of civilization!,7837,817,2023-01-17 03:06:03+00:00
160,elonmusk,"@ganaha_masako That is ironic indeed. Doubly so, given that Tesla Model Y is best-selling car in Switzerland! 🤣🤣
https://t.co/jdbiAOgcKc",7887,585,2023-01-17 03:04:30+00:00
161,elonmusk,@MrStevenSteele @appuntito160 True,2146,157,2023-01-17 02:36:24+00:00
162,elonmusk,@appuntito160 🤣🤣 he blocked me,6379,343,2023-01-17 02:33:44+00:00
163,elonmusk,@bfcarlson Worrisome,23294,1358,2023-01-17 02:02:45+00:00
164,elonmusk,@ScottAdamsSays He’s right,7581,429,2023-01-16 22:16:42+00:00
